cluster_id,title,year,venue
0,How artificially intelligent conversational agents influence EFL learners'self-regulated learning and retention.,2025,Educ. Inf. Technol.
0,"""Now I Understand"": an application to bridge the gap in communication with hearing impaired people.",2023,GHTC
0,Opportunities and Challenges of Natural Language Processing for Low-Resource Senegalese Languages in Social Science Research.,2026,CoRR
0,Multi-stage Pretraining for Abstractive Summarization.,2019,CoRR
0,Three-dimensional Ideological and Political Education System for Creative Innovation Practice Course under Integration of Specialty and Innovation.,2023,ICEMT
0,TUW @ TREC Clinical Decision Support Track 2015.,2015,TREC
0,Redlining Maps and Terrains of Sustainability: : Interdisciplinary Mapping of Racialized Redlining to Present-Day Sustainability Agendas in HCI.,2023,CHI
0,Improved Synthetic Training for Reading Comprehension.,2020,CoRR
0,A Hybrid Knowledge-based Recommender for Mobility-as-a-Service.,2019,ICETE (1)
0,Spatial-technological experiments in the environment: eliciting and representing experiences of urban space.,2015,Digit. Creativity
1,ICPFP: A Novel Algorithm for Identification of Comorbidity Based on Properties and Functions of Protein.,2016,ICIC (3)
1,Multi-scale Densely U-Nets Refine Network for Face Alignment.,2019,ICME Workshops
1,A novel fully convolutional network for visual saliency prediction.,2020,PeerJ Comput. Sci.
1,A Task-Oriented Real-Time and Robust Feature Compression and Selection Method in Collaborative Intelligence System.,2025,ICASSP
1,Differentiable-Optimization Based Neural Policy for Occlusion-Aware Target Tracking.,2024,IEEE Robotics Autom. Lett.
1,Selective Learning: Towards Robust Calibration with Dynamic Regularization.,2024,CoRR
1,Heterogeneous Graph Attention Network.,2019,CoRR
1,Improving Ensemble Distillation With Weight Averaging and Diversifying Perturbation.,2022,ICML
1,An Objective Scoring Framework for Histology Slide Image Mosaics Applicable for the Reliable Benchmarking of Image Quality Assessment Algorithms.,2018,IEEE Access
1,The multisensor information fusion-based deep learning model for equipment health monitor integrating subject matter expert knowledge.,2024,J. Intell. Manuf.
2,What Can RISs Do for Symbiotic Radios?,2026,IEEE Wirel. Commun.
2,Analyze encryption and public key infrastructure (PKI).,2018,Int. J. Inf. Manag.
2,Prioritizing barriers in reverse logistics of E-commerce supply chain using fuzzy-analytic hierarchy process.,2020,Electron. Commer. Res.
2,Robust EV Scheduling in Charging Stations Under Uncertain Demands and Deadlines.,2024,IEEE Trans. Intell. Transp. Syst.
2,Evolution-Informed Modeling and Control of Tumor Growth.,2026,IEEE Trans Autom. Sci. Eng.
2,"218-Gb/s single-wavelength, single-polarization, single-photodiode transmission over 125-km of standard singlemode fiber using Kramers-Kronig detection.",2017,OFC
2,Flow Sensing-Based Congestion Detection for D2D Streaming on a 5G gNB.,2022,Sensors
2,Sufficient Conditions for Stability of Periodic Linear Impulsive Delay Systems.,2018,Autom. Remote. Control.
2,Analysis on the Effect of Phase Noise on the Performance of Satellite Communication and Measurement System.,2023,Symmetry
2,"Extensive Study of Cloud Computing Technologies, Threats and Solutions Prospective.",2022,Comput. Syst. Sci. Eng.
